계절,언어변수,언어값,최저,중간,최고
봄,기온,매우 추움,-99999,0,5
봄,기온,추움,5,8.5,12
봄,기온,서늘함,10,13,16
봄,기온,적당함,12,16,20
봄,기온,따뜻함,20,21.5,23
봄,기온,더움,22,30,99999
봄,습도,매우 건조,-99999,20,30
봄,습도,건조,20,30,40
봄,습도,쾌적,35,50,65
봄,습도,습함,60,72.5,85
봄,습도,매우 습함,80,90,99999
여름,기온,매우 추움,-99999,0,5
여름,기온,추움,5,8.5,12
여름,기온,서늘함,10,13,16
여름,기온,적당함,12,16,20
여름,기온,따뜻함,20,21.5,23
여름,기온,더움,22,30,99999
여름,습도,매우 건조,-99999,20,30
여름,습도,건조,30,42.5,55
여름,습도,쾌적,50,60,70
여름,습도,습함,65,77.5,90
여름,습도,매우 습함,85,90,99999
가을,기온,매우 추움,-99999,0,5
가을,기온,추움,5,8.5,12
가을,기온,서늘함,10,13,16
가을,기온,적당함,12,16,20
가을,기온,따뜻함,20,21.5,23
가을,기온,더움,22,30,99999
가을,습도,매우 건조,-99999,20,30
가을,습도,건조,20,30,40
가을,습도,쾌적,35,50,65
가을,습도,습함,60,72.5,85
가을,습도,매우 습함,80,90,99999
겨울,기온,매우 추움,-99999,0,5
겨울,기온,추움,5,8.5,12
겨울,기온,서늘함,10,13,16
겨울,기온,적당함,12,16,20
겨울,기온,따뜻함,20,21.5,23
겨울,기온,더움,22,30,99999
겨울,습도,매우 건조,-99999,20,30
겨울,습도,건조,15,25,35
겨울,습도,쾌적,30,40,50
겨울,습도,습함,45,57.5,70
겨울,습도,매우 습함,65,82.5,99999
